reply_tweet_id,customer_tweet_id,customer_author,customer_message,apple_reply,created_at,cluster_id,intent
328535,328536,194334,the new update makes all my apps run really slow get it together,"Thanks for reaching out, we'd like to look into this. What's your current iOS version? Find it at Settings &gt; General &gt; About.",Sat Oct 07 17:39:33 +0000 2017,8,software_update_issues
2787854,2787856,778265,iOS11 has failed to start my iPhone alarm for me too. One of the most important functions of a smartphone. Fix it !,We certainly do not want that happening. Please send us a DM with your iOS version and we will go from there.,Tue Nov 21 19:16:00 +0000 2017,6,ios_update_issues
1680779,1680780,511062,Any way I can check my IPhone battery Health Status?,We can check on that with you. Please tell us your iOS version in DM. We'll go from there.,Mon Nov 06 16:10:00 +0000 2017,7,battery_drain_after_update
519253,519256,239823,has anyone else reported the iPhone X restarting randomly when unlocking the phone?,Thanks for reaching out to us. We want to help look into this. Can you tell us when this first started happening?,Sat Dec 02 02:26:55 +0000 2017,10,recurring_device_issues
2001208,2001209,591759,my I️ keeps changing into a random ? Why? 😭,Let us help you get this sorted out. DM us the iOS version you are currently using so we can better assist you:,Fri Nov 03 20:29:55 +0000 2017,9,keyboard_autocorrect_bug
1820160,1820162,244814,Anybody else #iPhone burning up after latest #ios1101 update #hotiphone,Thanks for reaching out. DM which iPhone and specific iOS version you are using so we can help look into this with you.,Mon Oct 16 15:53:00 +0000 2017,6,ios_update_issues
829132,829133,317441,my shit is still on the fritz. Fix this!!!,We'd like to see how we can help. Can you send us a DM with details?,Wed Nov 08 19:51:03 +0000 2017,3,customer_service_complaint
2864899,2864897,795734,This has been happening for 3+ weeks. All apps are up to date,How long does a full charge usually last? How often do you have to charge your device in a single day? Let us know in DM.,Tue Nov 28 00:36:27 +0000 2017,4,all_apps_crashing
1789219,1789220,537463,How did your newest update make my phone better n worse at the same time?? Siri is smarter but apps slower. Signal?,"We'd like to look into this with you and see how we can help. To get started, which iPhone are you using? DM us:",Thu Oct 12 18:26:28 +0000 2017,8,software_update_issues
2060145,2060147,407114,Why does my 2011 Kia Picanto’s dock no longer work with my iPhone since the iOS 11 update? Just spent 2 hours trying. 😑,We can take a look at what's happening. Have you tried restarting your iPhone already? DM us with the answer.,Sat Oct 07 15:38:34 +0000 2017,6,ios_update_issues
685807,685808,152728,"unable to use iPad pro 10"" with via apple sim. Get ""An error has occurred when getting user information (TMF12)"" after selecting available ee plans. VERY inconvenient.",We'd like to help get your iPad Pro activated. DM us and we'll get started.,Thu Nov 23 13:16:52 +0000 2017,1,account_and_store_issues
2009899,2009900,594329,Someone done fucked up big time now eye have to use ‘eye’,"Let's take a look at this together. To begin, check out this article: DM us if you need more help.",Sat Nov 04 20:21:30 +0000 2017,3,customer_service_complaint
1706880,1706881,517280,okay fix this fucking key board glitch. Just sent a message to my little sister in boot camp and it looks like im wasted. FIX IT.,We'd love to help. Tell us more about your issue in DM. See you there.,Mon Nov 06 23:10:32 +0000 2017,2,macos_update_issues
1338795,1338792,432273,All good! Got my email! Thanks!,That's great to hear! Thanks for keeping us posted.,Sat Oct 28 01:47:00 +0000 2017,3,customer_service_complaint
1898908,1898909,565938,I’m going to break my iPhone 7 Plus! Nothing works on iOS 11!!!,"We want you to enjoy using your iPhone. DM us the version of iOS 11 it’s on, and we’ll do all we can to help out.",Mon Oct 23 20:10:00 +0000 2017,6,ios_update_issues
1896313,1896314,565207,seriously not going to respond .? Swear whoever I'm supposed to get ahold of to deal with,"Join us in Direct Message at the link below, so we can gather more details from you to see how we can assist.",Tue Oct 24 14:55:33 +0000 2017,3,customer_service_complaint
567662,567664,253145,"randomly since yesterday, many of iphone in Indonesia just restarts every 1 min. Went to service center and the only way out is factory reset. What happen???",We want to help. Please tell us which version of iOS you have installed on your iPhone. Take a look in Settings &gt; General &gt; About.,Sun Dec 03 01:57:00 +0000 2017,10,recurring_device_issues
2041039,2041040,533920,THIS DOES NOT WORK BECAUSE I DID THAT ALREADY JUST FIX IT,"We'd like to look further into this with you. To begin, DM us your device info, and we'll proceed from there.",Wed Nov 08 01:12:00 +0000 2017,4,all_apps_crashing
1772626,1772627,532774,what are y’all going to fix the glitch ??,We'd like to help with this. Let us know in DM what's happening and we'll get started.,Wed Nov 08 02:00:42 +0000 2017,9,keyboard_autocorrect_bug
1101070,1101071,379769,what happen to my apps at the bottom?????.?.,Great question. If you haven't yet done so we'd recommend restarting: Let us know if that helps.,Mon Oct 23 22:46:00 +0000 2017,4,all_apps_crashing
2283794,2283795,663688,This keyboard thing is telling everybody to do doesn’t even work 🙄,We want to get to the bottom of this. Let's discuss in DM.,Sat Nov 11 14:16:52 +0000 2017,9,keyboard_autocorrect_bug
548082,548079,247527,"ok, I tried this before but it din't work so now I have restored my phone via iTunes. So far it seems that everything is working, I will let you know if something goes wrong",Sounds good. Just let us know if you need any further assistance related to this issue.,Sat Dec 02 20:40:00 +0000 2017,0,apple_music_issue
1592399,1592400,183195,are y’all gonna ever fix this bug where I️ can’t type the letter eye ?,Thanks for your patience &amp; understanding! We have a workaround for you. Check it out here:,Sun Nov 05 01:02:56 +0000 2017,9,keyboard_autocorrect_bug
1420125,1420123,450139,I managed to re-add but the issue persists. It does not show any email. I'm on iPhone 6 iOS 11.1,You mentioned that this issue had been going on for a while; do you recall when it initially began? Did it happen before iOS 11?,Thu Nov 02 14:23:27 +0000 2017,6,ios_update_issues
2890739,2890740,237868,"My iPhone 6 randomly shut off at 97% charge. Had to hard reset. This means my battery is dying, or is it a software problem?","We certainly want to get to the bottom of this issue. Can you tell us which software version is currently running on your phone? Also, are you using the original charger and cable that came with your phone?",Tue Nov 28 14:24:31 +0000 2017,7,battery_drain_after_update
2025309,2025310,486441,"iphone 6 Ear speaker is not working now plz guide me on this,my phone is out of warranty now.What will be the price of same",We'd like to know more to figure out the best path forward. Send us a DM with the details and we'll go from there.,Mon Nov 06 16:08:32 +0000 2017,10,recurring_device_issues
1741621,1741622,475470,"Dammit, . This iOS glitch is killing me.",We'd like to help. Can you tell us what you're experiencing?,Tue Nov 07 17:17:29 +0000 2017,6,ios_update_issues
1967639,1967640,583056,your new #ios11.0.3 update for #iPhone6s bad idea too slow regular crashes,We'd love to assist you with any software issues that you're having. Please click here to join us in DM.,Tue Oct 31 13:54:57 +0000 2017,6,ios_update_issues
2775916,2775914,775653,"It's been happening for over a year. It's very widespread and common, I'm surprised you haven't solved it. IPhone 6s.","Have you done any troubleshooting to resolve this issue already? If so, we'll do our best not to needlessly repeat any steps to help isolate the issue. Let us know in Direct Message and we'll take a closer look.",Tue Nov 21 15:54:00 +0000 2017,10,recurring_device_issues
1508740,1508741,470194,please help,We'd love to see how we can be of assistance. DM us more details on the issue you are experiencing.,Fri Nov 03 14:02:28 +0000 2017,3,customer_service_complaint
2547258,2547257,723934,"Yes, it appears the Apple logo... and when runs slow; with every app or just watching my photos.",We would like to take a look at this further with you. Let's continue this conversation in DM.,Thu Nov 16 18:50:25 +0000 2017,5,missing_photos
2572055,2572053,729350,"I’m using iphone 7 plus,ios 11.1, it crashes (the app closes) whenever i open certain notes, i have to refresh the app (pressing on home button and then swipe up) multiple times to fix it. And then it happens again.","Alright, understood. Do you use iCloud to store your notes? DM us and let us know.",Thu Nov 16 23:04:54 +0000 2017,6,ios_update_issues
151432,151433,150581,macOS 10.12.6; the keyboard shortcut assigned in System Preferences-&gt;Keyboard-&gt;Shortcuts-&gt;Keyboard-&gt;Move focus to next window,Thanks for providing that for us. Let's meet in DM to continue.,Fri Nov 24 15:51:00 +0000 2017,3,customer_service_complaint
2350822,2350824,679459,"1 of these keyboards still fully functions: the ancient one. Not cool, . Requesting replacement for newest broken 1.","Hey, can you tell us a bit more on what's going on with the keyboard? DM us the details and we'll go from there.",Mon Nov 13 17:34:00 +0000 2017,2,macos_update_issues
2065563,2065564,610830,is there a way I can un-update my phone. The issues with the new update are unbearable.,"While downgrading isn't an option at this time, we'd like to help. Send us a DM with the iPhone mode and issues you're having.",Sat Oct 07 23:56:00 +0000 2017,8,software_update_issues
1906459,1906460,568039,"- my iPhone 6 upgrade from iOS 10 to iOS 11.0.3 battery draining. Until this occurred, I could go 2.5 days, now only hours 👎🏼",We'd like to look into the situation together. Let's team up in DM and get going! You can reach us at the link below:,Wed Oct 25 14:19:44 +0000 2017,7,battery_drain_after_update
325893,325895,179912,hey when I record a video the sound can’t playback. but it works fine when I use Siri.,"We're happy to help! If you record a quick memo using the Voice Memo app, can you hear your voice in the recording?",Sat Oct 07 16:09:27 +0000 2017,0,apple_music_issue
2212767,2212768,646688,what is happening to my phone i can't even facetime my mom from college anymore ... lmao i think its time for an upgrade 🤦🏻‍♀️😂,"That certainly looks a bit out of the ordinary. Is FaceTime the only app where you see this, and is your mom the only contact this happens with? Let us know in DM, and we'll see about getting this resolved for you.",Fri Nov 10 05:15:00 +0000 2017,10,recurring_device_issues
2284071,2284075,663761,Clips 2.0 on iPhone X running 11.1.1 AR mode won’t work in Scene setting selection. It won’t scroll &amp; show the superimposed background as I move the phone. It’s a static scene for all backgrounds.,We'd be happy to look into this with you. Was this feature working before and then stopped? Can you tell us when this issue started?,Sat Nov 11 14:42:00 +0000 2017,6,ios_update_issues
1121643,1121646,384569,I updated my phon to #ios11.0.3 and i am not able to shar photo on from gallery. When i try closed itself,Is WhatsApp the only app having an issue?,Sat Oct 14 12:55:05 +0000 2017,5,missing_photos
288483,288486,184722,why does the apple update suck so bad? My normally good product is now crap thanks to your update.,Thanks for reaching out to us. Can you please provide more details about your issue so that we can better understand? Thanks.,Fri Oct 06 15:16:51 +0000 2017,8,software_update_issues
547105,519214,247253,My iPhone 6 Plus also have same issue.,Check this article out to see if it will help with your restarting issue. Let us know if that gets you back to normal.,Sat Dec 02 15:49:10 +0000 2017,10,recurring_device_issues
1779255,1779256,534586,"I don't want to sound ungrateful for what I have, but it's annoying as hell when my laptop is at low battery after an hour of use",We can understand how that would be an issue. Let's look into that further. Send us a DM and we'll go from there.,Wed Oct 11 18:34:30 +0000 2017,7,battery_drain_after_update
52982,52983,127936,Anybody else experiencing the bug where the letter I turning into a weird set of glyphs? #Igate,That's not the experience we want you have with iOS 11. Follow us to DM and we'll get started.,Wed Nov 01 18:39:01 +0000 2017,9,keyboard_autocorrect_bug
2783325,2783327,142965,per the new iphone X screen: Things no longer show in top right corner due to notch there is no room. Time. Things using your location. Bars. Battery. And whether your on LTE vs 4G. That’s it. No battery percent. No Bluetooth. No alarm. No room for do not disturb.,Thank you. Are you referring to the status bar at the top of the screen? Please send us a DM to clarify; we'll be happy to help.,Tue Nov 21 17:40:32 +0000 2017,10,recurring_device_issues
1977656,1977657,585627,WHY DOES MY PHONE KEEP FUCKING UP MAKE UR DAMN UPDATES WORK,If you're having an issue with your iPhone we'd like to assist. DM us with the details and we'll continue there.,Wed Nov 01 20:35:00 +0000 2017,8,software_update_issues
1516140,1516141,138177,"So iOS 11.1 is draining my battery on new iPhone from 100% to 75% in 40 minutes, useless showers can’t sort shit","Battery life is important, and we’d like to team up. Meet us in DM with your iOS model to get started.",Fri Nov 03 18:56:28 +0000 2017,7,battery_drain_after_update
2774312,2774313,775344,I haven’t had phone service for 2 days after that last updates &amp; I can’t get an appt at a Genius Bar until tomorrow night. FIX YOUR SHIT!!!!!!!!!!! #overappleproducts #impayingforservicethatdoesntwork,Hello! We'd like to help out. We definitely wouldn't want you to be without phone service! You're in great hands for support. Could you DM us and we can continue from there?,Tue Nov 21 14:48:01 +0000 2017,8,software_update_issues
2488654,2488655,710704,Need to fix the i️ problem in their phone software because it’s really reducing my comedic value,We're here to help. Tell us the version of iOS installed in Settings &gt; General &gt; About?,Wed Nov 15 16:56:34 +0000 2017,9,keyboard_autocorrect_bug
458408,458406,223862,I️ phone 6s plus and version 11.0 (15A372),"We have a newer version of iOS, 11.1.2, which addresses this issue. We recommend that you backup your iPhone and update. For more info, check out: ￼",Fri Dec 01 01:23:00 +0000 2017,10,recurring_device_issues
2400646,2400647,690729,"Ironically, Apple Music will not play me my music but it shows in iTunes I’ve paid.",We'd love to help. Try following these directions and let us know how it goes:,Fri Oct 20 12:36:00 +0000 2017,0,apple_music_issue
272915,272916,181176,how can I check the battery percent of my beats on the new iOS?,"Hey there, we want to help. Reach us via DM to continue.",Fri Oct 06 04:00:35 +0000 2017,7,battery_drain_after_update
486290,486292,230701,I’m about done with my #iPhone ever since the last update my phone flickers off for a second and I’ve seen other ppl complaining the same,"Let's get you back to using your phone as you should. What iOS version is running on your iPhone? Also, what is happening on your device when the flickering occurs?",Fri Dec 01 15:15:00 +0000 2017,10,recurring_device_issues
1815182,1815184,545272,"I lost my phone and I need the IMEI number but I can't access to my appleid, help!","We’d like to understand more about this. Please DM us and tell us which country you're in, and we'll get started.",Mon Oct 16 00:56:00 +0000 2017,1,account_and_store_issues
1655533,1655532,505228,"Air drop will not work on my iphoneX. iOS is the latest. I tried to fix by many method, reset the setting, reset &amp; restore, but couldn't.",Can you explain what exactly is happening when you try to use AirDrop? Do you get an error?,Mon Nov 06 13:04:28 +0000 2017,10,recurring_device_issues
2067794,2067795,439310,can y’all address the bugs in this new update? Cus my iPhone 7 that I’ve had since March starts acting up all of a sudden??,We'll be happy to help you out with any issues you're having. Can you DM us more about what's going on with your iPhone 7?,Sun Oct 08 14:13:29 +0000 2017,8,software_update_issues
999202,999203,356593,... Appreciate it guys Jumped on the phone The geezer was incredible.... All sorted #myfirstmac,Congrats on making the jump to Mac! Here is some great information to get you started:,Sun Oct 22 17:09:34 +0000 2017,3,customer_service_complaint
2739494,2739496,767536,my phone been laggy as fuck ever since i updated. what i did to deserve this ??,Let's work on this together. Can you let us know what exactly is going on?,Mon Nov 20 17:22:38 +0000 2017,8,software_update_issues
208898,208900,165439,I have trouble downloading updates. I keep getting the following error: Can't load data from the Apple Software Update server,Thanks for reaching out. Let's take a closer look together. Which device are you receiving this error on?,Wed Oct 04 20:22:29 +0000 2017,2,macos_update_issues
2405022,2405024,691765,Gmail via exchange stopped syncing. So deleted to add via Google in Add Account. Logged in but window closes immediately wo finishing setup. Pls advise.,"We know the importance of having access to email. To begin isolating the issue, tell us the device you’re noticing this on, and we’ll work together to resolve this issue.",Tue Nov 14 14:50:12 +0000 2017,4,all_apps_crashing
2444178,2444180,700830,thanks for the new iso update my fone is now locked and will not update or restore so is totally useless until you reset it,"We're here to help. Send us a DM, and we'll take a closer look into this issue together.",Wed Nov 15 00:21:27 +0000 2017,8,software_update_issues
722014,722015,292840,Dear . Could the Undo button on the new keyboard be minimized or removed? I have hit it be accident wiping out whole paragraphs,We'd love to hear your feedback and suggestions. You can send those to us from here:,Fri Oct 06 15:25:32 +0000 2017,4,all_apps_crashing
981215,981216,352647,would the iPhone 7 Smart Battery Case work on an iPhone 8?,We'll be happy to point you in the right direction. Reach out to our Online Store team here:,Sun Oct 22 14:14:00 +0000 2017,7,battery_drain_after_update
769561,769562,303750,what have you done to your videos. Since the update it’s just crashes on my iPad mini series 3 and not work,We'd be happy to assist with your videos today. Send us a DM to get started.,Sat Oct 07 15:52:26 +0000 2017,8,software_update_issues
2019132,2019133,597123,why does my stuff keep autocorrecting to a ? This bug is driving me crazy,We can provide you with some guidance. Check out this resource: DM if you need more help.,Sat Nov 04 23:03:58 +0000 2017,9,keyboard_autocorrect_bug
2623979,2623976,259835,....as advised when I went there on Tuesday but no one replied.,DM us the details and we'll be happy to look into it.,Mon Oct 30 22:47:55 +0000 2017,3,customer_service_complaint
1220470,1220471,406349,My watch is out of warrant &amp; apply is basically trying to make but a new one. Smfh,Hello! We would like to make sure we can provide all the support needed to help find a resolution for you. Let's look into this together. Could you DM us and we can continue from there?,Sat Nov 25 19:28:00 +0000 2017,4,all_apps_crashing
658018,658016,276645,"It's an older MBP with OS X El Capitan so I'm not expecting much. But, I'm just curious why one day, with no changes made, it started taking 3+ minutes to start up 7:04 PM · Nov 22, 2017","Which exact OS X El Capitan version is installed? You can check under the Apple logo at the top, then click on 'About this Mac'. Any updates showing up in its App Store and have you installed any new apps right before this started to occur?",Thu Nov 23 01:12:00 +0000 2017,2,macos_update_issues
2509330,2509331,524810,"Thank you , the problem is solve, no more A for an I, just a little thing... now the iPhone is turning on and off by itself...",We are here to help. Please DM us and we will continue troubleshooting from there.,Wed Nov 15 22:39:00 +0000 2017,10,recurring_device_issues
741666,741665,297377,Nope. Just the twitter app. Started happening when twitter discontinued their watch app.,Got it. Does the app still appear in the Apple Watch app under 'Installed on Apple Watch'? Let us know in DM:,Sun Oct 15 18:01:39 +0000 2017,4,all_apps_crashing
2693976,2693978,266930,what would cause a iPhone 5c to not turn on? Could it need a new battery??,"Let's take a look at this together! To start, let us know if these steps help:",Sun Nov 19 17:46:29 +0000 2017,10,recurring_device_issues
1342833,1342834,433183,why does it say that i have already used my apple music free trial when i haven’t?,We have a team that can look into what's going on and help. Reach out to them here:,Mon Oct 16 13:35:33 +0000 2017,0,apple_music_issue
806430,806432,312171,Why can't I use my headset on my iPad mini 2? It just stopped working,That's not what we'd like to hear. We'll be happy to assist. What type of headset is it?,Thu Oct 12 17:56:00 +0000 2017,0,apple_music_issue
2284454,2284456,663857,Am I️ the only idiot that didn’t know the iCloud app won’t work if you update your iOS and don’t have the new phone? 🤔,We are here to help. We know how important protecting your personal data with iCloud is. We’ll work together to get this resolved. Can you start by confirming your current iOS version? Settings &gt; General &gt; About.,Sat Nov 11 15:07:00 +0000 2017,1,account_and_store_issues
481741,481742,229504,Is the update even worth it? It feels I’m just updating a letter and you know what letter I’m talking about #apple,"We recently released an iOS update, that contains a fix for autocorrect issues. Let’s be sure to back up your device prior to updating. Follow the steps here:",Fri Dec 01 14:08:00 +0000 2017,8,software_update_issues
154481,154483,151404,can’t update 11.1.2,We're here for you. Check out this article for help with updating your device:,Fri Nov 24 16:32:32 +0000 2017,8,software_update_issues
255136,253464,176657,Just upgraded to 11.0.2 this morning but I was noticing that issue before my upgrade. Wonder if it was a prob after the last patch?,"Let us know how your battery is performing since updating to iOS 11.0.2, we're here to help.",Thu Oct 05 18:31:27 +0000 2017,6,ios_update_issues
2702128,2702130,276774,How come my itunes movie keeps stopping on desktop,We're happy to help. Are you using iTunes on a Mac or Windows PC?,Sun Nov 19 21:22:28 +0000 2017,0,apple_music_issue
2555389,2555390,381848,how do I keep Live Photo turned off permanently?,Great question. You would go to Settings &gt; Camera &gt; Preserve Settings and turn on Live Photos. Then go in to the Camera app and turn off the Live Photos option.,Thu Nov 16 15:54:31 +0000 2017,5,missing_photos
1703848,1703846,516504,just iOS 11 I believe. and no but the restarts are randomly can't find a pattern but has been happening ever since I got ip8+,"Do you have a recent backup? Also, if you check here, is iOS 11.1 installed: Settings &gt; General &gt; About &gt; Version",Mon Nov 06 23:25:00 +0000 2017,6,ios_update_issues
2361682,2361680,681946,I appreciate your help. I’ve tried the tips but my Mac still wont start after the bar completes loading.,"Have you also tried booting in recovery? If not, let's give that a try next: DM us the results, please.",Mon Nov 13 22:35:31 +0000 2017,2,macos_update_issues
1336304,1336305,431726,Hey you’ve got a glitch in the matrix- can’t pick a time to collect my phone every slot I select brings up this msg!,"Meet us in DM and let us know if you were able to get past this error or not, if not we can help.",Fri Oct 27 14:27:34 +0000 2017,10,recurring_device_issues
1066883,1066885,371772,No just the calls. iOS 11.0.3 &amp; WatchOS 4.0,Does this happen with all contacts? Do you experience the delay in multiple locations?,Sat Oct 14 22:53:28 +0000 2017,6,ios_update_issues
2404962,2404963,691750,"Yo I keep turning Wi-fi off but it keeps turning itself back on, how do I fix this?",We understand your concerns with Wi-Fi and we'll be happy to shed some light on what's going on. iOS 11 changes some behaviors within the Control Center. See for details on Wi-Fi and Bluetooth control after the update.,Tue Nov 14 14:57:38 +0000 2017,4,all_apps_crashing
872497,872499,139842,No. General turning on and turning off. I turn it off and it turns itself back on. Other people say it happens to them too,Got it. Tell us this. When it turns back on is the phone plugged to power when this happens?,Fri Oct 13 15:50:00 +0000 2017,4,all_apps_crashing
1970201,1970202,583632,Ive been trying to get my phone fixed for months but and have done nothing but make me talk to voicemails &amp; machines.,That's not the experience we want you to have! Meet us in DM with more details so we may better assist you.,Tue Oct 31 17:29:00 +0000 2017,10,recurring_device_issues
2007735,2007736,593704,: Can you help track my lost iPhone 7? The IMEI Number is __credit_card__.,We'd like to make sure you're aware of all of your options for a lost device. DM us and we'll go from there.,Sat Nov 04 15:12:29 +0000 2017,1,account_and_store_issues
2046068,2046069,605102,just noticed numbers near my cell and WiFi signal icons in my status bar??,"Hi there. The information comes from your carrier network. Please send us a DM, we'll meet you there to take a look.",Wed Oct 04 21:47:31 +0000 2017,4,all_apps_crashing
489616,489618,231609,"Hi, i been experiencing a weird bug on my 2015 MBP today. I have documented it here on (apple's stackexchange). I cant find any solutions anywhere :(","That's definitely not expected behavior and we're happy to do everything we can to help. To start, can you tell us which version of software you're using on your MacBook Pro? You can find this by going to the Apple at the top left corner and selecting ""About This Mac"".",Thu Nov 30 02:06:29 +0000 2017,2,macos_update_issues
2589201,2588760,733471,Same here! iPhone 7 in my case. I'm barely getting 4 hours on screen.,Let's work together to figure out what's going on. Go ahead and meet us in DM here:,Mon Oct 30 19:05:34 +0000 2017,10,recurring_device_issues
2398026,2398028,690137,is spotty wifi (two separate channels) a known issue after high sierra upgrade?,"Hey there. We'd love to help out, and see what's going on with your Mac. To clarify, are you having issues connecting or keeping a connection with Wi-Fi? Is this only happening on the two networks you mentioned? What is the macOS version you have installed?",Tue Nov 14 13:37:00 +0000 2017,2,macos_update_issues
1906826,1906827,568146,"I’m trying to “Report a problem” via the link in my e-mail, but the page just keeps reloading for login.","Let us know via DM the device you are using for this, then we can figure out what is going on from there.",Wed Oct 25 14:59:50 +0000 2017,4,all_apps_crashing
1367046,1367049,438227,Wondering if persistent-red-dot &amp; duplicate-notification issues on Watch / iOS 11 are fixed by upgrade to WatchOS 4?,Those are certainly issues we can take a look at together. Which WatchOS version is on the Watch? Settings &gt; General &gt; About.,Fri Oct 27 22:10:34 +0000 2017,4,all_apps_crashing
1449230,1449231,115863,Were supposed to be the leaders in AI &amp; ML but feels like Siri is falling behind unless I’m missing something to make it mrle valuable?,We'd be happy to take your Siri feedback here:,Thu Nov 02 16:48:00 +0000 2017,3,customer_service_complaint
1821483,1821485,546830,Hey ever since I got this new update my phone works like doodoo. Care to explain? #thanks,"If you're having issues with the performance of your iPhone since updating to iOS 11, go ahead and join us in DM here:",Mon Oct 16 19:12:00 +0000 2017,8,software_update_issues
40520,31433,122932,Jk its still not working I turned my auto correct off now.,"If you'd like us to help further with this issue, just send us a DM, and we'll work on it with you.",Wed Nov 01 15:22:25 +0000 2017,4,all_apps_crashing
1398516,1398517,230283,"2/2 it seems there are 2 places reporting 250+ gb free space, and 2x places reporting only 35gb free space. the heck",Let's look into this together. Send us a Direct Message using the link below to get started.,Mon Oct 16 16:36:01 +0000 2017,3,customer_service_complaint
1550292,1550294,178798,I️ am not fucking around here,Let’s take a look at this together. DM us your current iOS version so we can work on it there.,Sat Nov 04 03:05:32 +0000 2017,3,customer_service_complaint
1869325,1869326,558340,why is my apple music app just a blank black screen?,Let's find out. Which device are you experiencing this on?,Thu Oct 19 20:56:00 +0000 2017,0,apple_music_issue
2033034,2033035,601159,apple please I need the 10.3.3 ios for my iPhone 6😭😭🙏🏼🙏🏼🙏🏼,Thanks for reaching out! Which version of iOS are you running on the iPhone currently? Let us know in DM to proceed.,Tue Nov 07 16:30:00 +0000 2017,1,account_and_store_issues
1458711,1458712,458580,"you r not cheap mobile company ios 11.1 made iphone 6 bad to worse, lots of suffering due to apple who will compensate",We know how important battery life is. Click here to meet us in DM. We'll continue there:,Fri Nov 03 23:57:37 +0000 2017,6,ios_update_issues
2787840,2787838,778263,Disagree. Why are loads of apps all doing the same since I upgraded to iPhone X - all worked fine before.,"Reach out to us via DM, then we can advise you further on this from there.",Tue Nov 21 19:36:00 +0000 2017,6,ios_update_issues
